,nectar.at.flower.scale.in..microgram.flower.day,nectar.at.flower.scale.in..microg.flower.day,nectar.at.flower.scale.in..microg.flower.day,nectar.at.flower.scale.in..microg.flower.day,nectar.at.flower.scale.in..microg.flower.day,nectar.at.flower.scale.in..microg.flower.day,nectar.at.vegetative.scale.in..kg.hacover.year,nectar.at.vegetative.scale.in..kg.hacover.year,nectar.at.vegetative.scale.in..kg.hacover.year,nectar.at.vegetative.scale.in..kg.hacover.year,nectar.at.vegetative.scale.in..kg.hacover.year,nectar.at.vegetative.scale.in..kg.hacover.year,nectar.at.vegetative.scale.in..kg.hacover.year,nectar.at.vegetative.scale.in..kg.hacover.year
species,mean.nectar.sugar.content.per.flower,var.nectar.sugar.content.per.flower,n.nectar.sugar.content.per.flower,mean.potential.max.nectar.sugar.content.per.flower,var.potential.max.nectar.sugar.content.per.flower,n.potential.max.nectar.sugar.content.per.flower,empirical.nectar.productivity.value,log10(value.plus.1)modelled.nectar.productivity,log10(95%lwr+1)modelled.nectar.productivity,log10(95%upr+1)modelled.nectar.productivity,modelled.nectar.productivity.value,nectar.productivity.default.value,final.nectar.productivity.value,origin.of.values
Erica cinerea,80.63,6069.49,20,81.31,5634.27,20,2558.83,1.97115662,1.22759245,2.71472079,92.57430696,NA,2558.83,empirical
Erica tetralix,70.3,6414.06,20,70.3,6414.06,20,204.66,2.23912218,1.55493746,2.92330691,172.4291852,NA,204.66,empirical
Eupatorium cannabinum,17.02,159.95,20,29.97,603.47,20,572.1,2.73132576,2.36546086,3.09719065,537.6736797,NA,572.1,empirical
Euphrasia officinalis agg.,17.83,226.82,20,26.25,553.11,20,62.94,1.65448716,0.67551243,2.63346189,44.13226853,NA,62.94,empirical
Fagopyrum esculentum,NA,NA,NA,NA,NA,NA,NA,0.46285252,-0.59224782,1.51795286,1.90303669,NA,1.9,modelled
Fallopia convolvulus,65.08,1042.82,10,65.08,1042.82,10,NA,1.12239307,0.33007021,1.91471592,12.25540699,NA,12.26,modelled
Fallopia japonica,57.15,1780.28,10,82.52,3528.5,10,159.6,2.07635919,1.22800633,2.92471205,118.2227644,NA,159.6,empirical
Filipendula ulmaria,0,0,18,0,0,18,0,0.53450504,-0.08362481,1.15263489,2.42377361,NA,0,empirical
Galeopsis tetrahit agg.,NA,NA,NA,NA,NA,NA,NA,2.16169652,1.45292352,2.87046952,144.1097251,NA,144.11,modelled
Galium aparine,9.48,12.41,10,12.52,18.18,10,4.89,0.47433685,-0.26199868,1.21067238,1.98082754,NA,4.89,empirical
Galium mollugo,3.58,5.78,10,5.01,11.16,10,0.34,0.96752725,0.27845075,1.65660374,8.27955706,NA,0.34,empirical
Galium palustre,NA,NA,NA,NA,NA,NA,NA,0.96752725,0.27845075,1.65660374,8.27955706,NA,8.28,modelled
Galium saxatile,0.94,4.07,10,1.25,7.31,10,0.73,0.79457155,0.06629695,1.52284615,5.23119794,NA,0.73,empirical
Galium verum,0.66,2.11,20,0.75,2.7,20,115.6,0.96752725,0.27845075,1.65660374,8.27955706,NA,115.6,empirical
Geranium dissectum,2.69,14.99,20,4.88,52.45,20,0.57,0.53233734,-0.23662799,1.30130268,2.40672709,NA,0.57,empirical
Geranium molle,20.55,554.24,18,59.85,12124.96,18,21.38,0.96610312,0.12667685,1.80552939,8.24917766,NA,21.38,empirical
Geranium pratense,16.43,78.15,10,27.81,177.02,10,1.73,1.14173909,0.39766361,1.88581456,12.85922944,NA,1.73,empirical
Geranium robertianum,97.79,5622.5,15,222.87,44969.33,15,11.99,0.45573853,-0.24860667,1.16008372,1.85587062,NA,11.99,empirical
Geum rivale,NA,NA,NA,NA,NA,NA,NA,1.7652624,1.11197983,2.41854496,57.24550257,NA,57.25,modelled
Geum urbanum,29.8,1147.69,17,69.57,6724.84,17,1.93,0.72030233,0.15458768,1.28601698,4.25172924,NA,1.93,empirical
Gladiolus sp.,3142.49,6590782.6,20,3142.49,6590782.6,20,NA,2.09440989,1.39262173,2.79619806,123.2824747,NA,123.28,modelled
Glaux maritima,NA,NA,NA,NA,NA,NA,NA,1.62069072,0.68970922,2.55167222,40.75329141,NA,40.75,modelled
Glechoma hederacea,94.37,6628.33,30,94.37,6628.33,30,43.95,2.32313216,1.80337829,2.84288602,209.4418711,NA,43.95,empirical
Hedera helix,609.82,148115.13,19,741.34,93769.23,19,705.45,2.24289375,1.4288705,3.056917,173.9418645,NA,705.45,empirical
Helianthemum nummularium,0,0,7,0,0,7,NA,NA,NA,NA,NA,0,0,default
Heracleum sphondylium,98.17,6420.46,20,163.34,26692.24,20,1507.04,2.28689037,1.57436348,2.99941726,192.5933213,NA,1507.04,empirical
Hieracium 'indeterminate' ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honckenya peploides,NA,NA,NA,NA,NA,NA,NA,1.69329217,1.00531512,2.38126922,48.35056964,NA,48.35,modelled
Hyacinthoides non-scripta,113.44,19948.82,30,113.44,19948.82,30,31.24,2.09440989,1.39262173,2.79619806,123.2824747,NA,31.24,empirical
Hydrocotyle vulgaris,NA,NA,NA,NA,NA,NA,NA,1.49094857,0.58808341,2.39381373,29.97052505,NA,29.97,modelled
Hypericum pulchrum,0,0,10,0,0,10,0,-0.12790233,-0.82273235,0.56692769,-0.25510052,NA,0,empirical
Hypochaeris radicata,14.46,145.03,20,15.61,163.53,20,101.28,2.3655599,2.03339428,2.69772552,231.0384188,NA,101.28,empirical
Ilex aquifolium,NA,NA,NA,NA,NA,NA,NA,3.27743515,2.30112675,4.25374355,1893.240631,NA,NA,NA
Impatiens glandulifera,7667.84,18217956.45,20,7667.84,18217956.45,20,607.4,2.355963,1.73973957,2.97218643,225.9671467,NA,607.4,empirical
Iris pseudacorus,3412.53,12270524.97,30,3412.53,12270524.97,30,124.56,2.46017575,1.73651086,3.18384064,287.5198853,NA,124.56,empirical
Knautia arvensis,146.31,8841.3,20,146.31,8841.3,20,846.39,2.6443553,2.11078842,3.17792217,439.9154289,NA,846.39,empirical
Lamiastrum galeobdolon,440.16,170615.27,20,440.16,170615.27,20,155.63,2.28912106,1.80226344,2.77597867,193.5902419,NA,155.63,empirical
Lamium album,1043.99,225258.01,20,1043.99,225258.01,20,1197.67,2.28912106,1.80226344,2.77597867,193.5902419,NA,1197.67,empirical
Lamium maculatum,NA,NA,NA,NA,NA,NA,NA,2.28912106,1.80226344,2.77597867,193.5902419,NA,193.59,modelled
Lamium purpureum,30.66,967.02,20,30.66,967.02,20,39.27,1.92412994,1.35674398,2.49151591,82.97111956,NA,39.27,empirical
Lapsana communis,0.26,0.49,7,0.36,0.89,7,3.14,2.0453252,1.62026008,2.47039032,110.0005676,NA,3.14,empirical
Lathyrus latifolius,1387.82,437139.36,10,1387.82,437139.36,10,716.38,1.91573,1.4623374,2.36912259,81.36259014,NA,716.38,empirical
Lathyrus pratensis,952.69,630508.66,20,952.69,630508.66,20,185.98,1.91573,1.4623374,2.36912259,81.36259014,NA,185.98,empirical
Leontodon autumnalis,13.7,560.68,20,19.62,1072.77,20,391.29,2.3655599,2.03339428,2.69772552,231.0384188,NA,391.29,empirical
Leontodon hispidus,6.15,52.85,17,8.27,90.02,17,38.27,2.3655599,2.03339428,2.69772552,231.0384188,NA,38.27,empirical
Leontodon saxatilis,NA,NA,NA,NA,NA,NA,NA,2.3655599,2.03339428,2.69772552,231.0384188,NA,231.04,modelled
Leucanthemum vulgare,15.81,134.43,19,29.47,467.41,19,1181.32,2.5385156,2.10368195,2.97334925,344.5537391,NA,1181.32,empirical
Ligustrum vulgare,66.75,3905.1,9,91.72,7266.32,9,274.98,NA,NA,NA,NA,NA,274.98,empirical
Linaria vulgaris,543.89,108853.37,10,543.89,108853.37,10,651.88,1.77694161,1.14976623,2.40411699,58.83311471,NA,651.88,empirical
Linum usitatissimum,NA,NA,NA,NA,NA,NA,NA,1.57998327,0.55519645,2.60477009,37.01747504,NA,37.02,modelled
Lonicera periclymenum,1726.84,513585.25,30,1726.84,513585.25,30,89.64,2.68694302,2.13619721,3.23768882,485.3433878,NA,89.64,empirical
Lotus corniculatus,61.82,3613.92,21,61.82,3613.92,21,22.59,1.7087632,1.29861346,2.11891294,50.14029157,NA,22.59,empirical
Lotus pedunculatus,35.36,926.51,10,35.36,926.51,10,8.45,1.7087632,1.29861346,2.11891294,50.14029157,NA,8.45,empirical
Lupinus polyphyllus,NA,NA,NA,NA,NA,NA,NA,1.91573,1.4623374,2.36912259,81.36259014,NA,81.36,modelled
Lychnis flos-cuculi,NA,NA,NA,NA,NA,NA,NA,1.93210137,1.18111459,2.68308814,84.5266311,NA,84.53,modelled
Lycopus europaeus,NA,NA,NA,NA,NA,NA,NA,2.6122992,1.95445534,3.27014305,408.5427076,NA,408.54,modelled
Lysimachia nemorum,7.18,14.53,10,22.56,163.53,10,0.65,0.37918804,-0.42611429,1.18449037,1.39435223,NA,0.65,empirical
Lythrum salicaria,136.72,15835.43,20,136.72,15835.43,20,190.77,1.99318581,1.28439488,2.70197673,97.44321947,NA,190.77,empirical
Malus domestica,110.21,9953.57,16,175.83,31780.26,16,7.92,1.88304301,1.27479176,2.49129425,75.39114276,NA,7.92,empirical
Matricaria discoidea,0.28,0.79,10,0.5,2.5,10,50.83,1.67955934,1.27126115,2.08785753,46.81446942,NA,50.83,empirical
Matricaria recutita,0.6,1.68,10,0.75,2.85,10,58.31,2.0771676,1.52328284,2.63105236,118.4448966,NA,58.31,empirical
Medicago lupulina,1.63,5.52,8,2.5,14.35,8,21.17,1.53312724,0.80283532,2.26341916,33.12928866,NA,21.17,empirical
