,,nb.of.open.flowers.per.floral.unit,nb.of.open.flowers.per.floral.unit,nb.of.open.flowers.per.floral.unit,nb.of.total.flowers.per.floral.unit,nb.of.total.flowers.per.floral.unit,nb.of.total.flowers.per.floral.unit,nb.of.open.flowers.per.m².of.vegetative.cover,nb.of.open.flowers.per.m².of.vegetative.cover,nb.of.open.flowers.per.m².of.vegetative.cover,nb.of.open.flowers.per.m².of.vegetative.cover.at.the.peak.of.flowering.season,nb.of.total.flowers.per.m².of.vegetative.cover,nb.of.total.flowers.per.m².of.vegetative.cover,nb.of.total.flowers.per.m².of.vegetative.cover
species,FU.category,mean,var,n,mean,var,n,mean,var,n,mean,mean,var,n
Rubus fruticosus agg.,single flower,1,0,10,1,0,10,79.03,4379.84,10,116.43,376.86,30683.81,10
Sagina sp.,single flower,1,NA,1,1,NA,1,6480,NA,1,8954.18,14580,NA,1
Salix cinerea,single catkin,120.2,4631.2,5,120.2,4631.2,5,122532.24,20990269989,5,334178.84,200518.56,38293073573,5
Sambucus nigra,whole umbel,224.8,18188.84,10,263.1,18346.77,10,4529.77,12930713.8,10,15362.38,10383.32,50810489.02,10
Sanguisorba minor,terminal spyke,5.5,60.5,2,22.5,24.5,2,2772,15367968,2,3522.75,24840,127744128,2
Saponaria officinalis,single flower,1,0,5,1,0,5,313,120920.66,5,361.15,1017.83,509406.11,5
Senecio erucifolius,single capitulum,34.4,422.8,5,52,86,5,24987.43,323817137.6,5,129101.71,272039.31,13892377209,5
Senecio jacobaea,single capitulum,24.4,153.6,10,65.2,124.62,10,57792,1386043392,10,93309.73,432816,15708527616,10
Senecio vulgaris,single capitulum,58,552,7,71.43,770.29,7,139152,14869631232,7,214945.66,508121.14,1.72E+11,7
Silene dioica,single flower,1,0,10,1,0,10,226.54,19338.79,10,247.43,679.59,319906.22,10
Silene vulgaris,single flower,1,0,3,1,0,3,316,624,3,NA,1136,21504,3
Sinapis arvensis,single flower,1,0,7,1,0,7,3381.06,19003863.88,7,23806.45,16675.28,254536397.2,7
Sisymbrium officinale,single raceme,3.4,1.16,10,19,49.78,10,4078.88,7508251.06,10,3947.69,27167.57,573032580.6,10
Solanum dulcamara,single flower,1,0,5,1,0,5,127.2,8611.2,5,133.78,1680,2051712,5
Solanum nigrum,single flower,1,0,2,1,0,2,186.95,51.06,2,191.1,963.37,11744.8,2
Solanum tuberosum,single flower,1,0,10,1,0,10,23.81,280.16,10,25.04,94.92,1441.71,10
Sonchus arvensis,single capitulum,188,3154.67,4,195.5,2099.67,4,27492,200508480,4,44131.89,400680,11045465856,4
Sonchus asper,single capitulum,138.43,3193.96,14,164.36,1210.71,14,18447.8,456733507.9,14,58262.07,302897.02,55851593527,14
Sonchus oleraceus,single capitulum,116.89,196.11,9,180.22,2912.44,9,13989.45,55263545.9,9,18345.09,217411.73,8202365179,9
Sorbus aucuparia,single flower,1,0,5,1,0,5,5935.3,43144157.65,5,6359.25,12204.88,112188744.7,5
Stachys sylvatica,single flower,1,0,10,1,0,10,840.47,74833.71,10,NA,1966.99,468723.64,10
Stellaria graminea,single flower,1,0,5,1,0,5,1332,298368,5,1562.54,3220.31,1280176.47,5
Stellaria holostea,single flower,1,0,5,1,0,5,1.31,8.57,5,2.03,228.44,25631.97,5
Stellaria media,single flower,1,0,5,1,0,5,220.22,43133.86,5,256.69,4525.6,1122364.49,5
Succisa pratensis,single capitulum,45.1,516.32,10,70.8,127.07,10,7727.76,42014289.95,10,11344.49,34511.35,54236060.79,10
Symphytum officinale,single flower,1,0,5,1,0,5,99.74,7435.84,5,NA,898.18,221727.28,5
Taraxacum agg.,single capitulum,206.4,25867.38,10,232.8,26423.29,10,11722.8,114383758.4,10,16705.84,23259.12,290225262.1,10
Teucrium scorodonia,single flower,1,0,10,1,0,10,803.51,360109.75,10,996.3,3964.77,3120456.49,10
Thymus polytrichus,single flower,1,0,5,1,0,5,828.34,295550.3,5,1052.69,39630.86,652325995.1,5
Trifolium dubium,single globular raceme,14.8,71.2,5,17.6,6.8,5,12715.59,61556963.06,5,26587.14,78102.55,95443055.56,5
Trifolium pratense,single globular raceme,24.1,132.32,10,50.5,266.06,10,4082.21,1169007.29,10,10068.97,19976.52,68278803.81,10
Trifolium repens,single globular raceme,22.7,45.79,10,45.8,75.96,10,4902.41,7005426.36,10,27124.81,13657.63,30714751.39,10
Ulex europaeus,single flower,1,0,5,1,0,5,708.88,19599.79,5,924.63,7172.61,18818164.62,5
Ulex gallii,single flower,1,0,10,1,0,10,495.81,354780.15,10,1174.64,5704.35,41103908.44,10
Vaccinium myrtillus,single flower,1,0,10,1,0,10,220.43,116702.91,10,300.59,499.12,147161.54,10
Vaccinium vitis-idaea,single flower,1,0,5,1,0,5,54.63,780.62,5,114.24,1432.25,1019886.82,5
Veronica chamaedrys,single flower,1,0,5,1,0,5,681.6,158284.8,5,751.76,3216,1248768,5
Veronica persica,single flower,1,0,10,1,0,10,652.8,341606.4,10,745.68,9760.8,47866886.4,10
Veronica serpyllifolia,single flower,1,0,8,1,0,8,970.36,332874.62,8,1580.58,16767.82,196591549.8,8
Vicia cracca,single flower,1,0,10,1,0,10,404.3,64138.4,10,478.9,2083.99,2045886.6,10
Vicia sativa,single flower,1,0,5,1,0,5,377.02,3826.01,5,1432.68,1047.93,21488.73,5
Vicia sepium,single flower,1,0,3,1,0,3,240,6912,3,NA,1184,258816,3
Viola arvensis,single flower,1,0,2,1,0,2,136.73,10872.45,2,381.41,320.19,55906.54,2
Viola riviniana/reichenbiana,single flower,1,0,10,1,0,10,201.12,11823.39,10,263.98,424.23,27774.07,10
