species,date,hour,location,habitat,FU.category,year,quadrat.no.independency,nb.of.floral.units.in.buds,nb.of.opened.floral.units,nb.of.fruited.floral.units,nb.of.buds.per.opened.floral.unit,nb.of.opened.flowers.per.opened.floral.unit,nb.of.fruited.flowers.per.opened.floral.unit,nb.of.cross.points,vegetative.area,nb.of.opened.flowers.per.fu,nb.of.total.flowers.per.fu,nb.of.opened.flowers,nb.of.total.flowers,nb.of.opened.flowers.per.m2,nb.of.total.flowers.per.m2
Cirsium vulgare,25/07/2011,09:30,troopers hill,grassland park,single capitulum,2011,5,80,21,32,80,350,0,20,0.138888889,350,430,7350,57190,52920,411768
Cirsium vulgare,25/07/2012,13:00,ashton court,woodland,single capitulum,2012,1,15,1,1,0,208,0,4,0.027777778,208,208,208,3536,7488,127296
Cirsium vulgare,25/07/2012,13:00,ashton court,woodland,single capitulum,2012,2,16,2,2,10,208,40,7,0.048611111,208,258,416,5160,8557.714286,106148.5714
Cirsium vulgare,25/07/2012,13:00,ashton court,woodland,single capitulum,2012,3,11,2,0,10,194,40,4,0.027777778,194,244,388,3172,13968,114192
Cirsium vulgare,25/07/2012,13:00,ashton court,woodland,single capitulum,2012,4,14,4,0,20,178,100,6,0.041666667,178,298,712,5364,17088,128736
Cirsium vulgare,25/07/2012,13:00,ashton court,woodland,single capitulum,2012,5,10,3,1,0,228,20,4,0.027777778,228,248,684,3472,24624,124992
Clematis vitalba,29/07/2011,10:00,ashton court,woodland carpark,single flower,2011,1,260,32,0,0,1,0,25,0.173611111,1,1,32,292,184.32,1681.92
Clematis vitalba,29/07/2011,10:00,ashton court,woodland carpark,single flower,2011,2,180,14,6,0,1,0,15,0.104166667,1,1,14,200,134.4,1920
Clematis vitalba,29/07/2011,10:00,ashton court,woodland carpark,single flower,2011,3,225,47,12,0,1,0,21,0.145833333,1,1,47,284,322.2857143,1947.428571
Clematis vitalba,29/07/2011,10:00,ashton court,woodland carpark,single flower,2011,4,165,8,0,0,1,0,8,0.055555556,1,1,8,173,144,3114
Clematis vitalba,29/07/2011,10:00,ashton court,woodland carpark,single flower,2011,5,155,35,3,0,1,0,14,0.097222222,1,1,35,193,360,1985.142857
Clematis vitalba,25/07/2011,09:30,troopers hill,grassland park,single flower,2011,1,210,38,10,0,1,0,30,0.208333333,1,1,38,258,182.4,1238.4
Clematis vitalba,25/07/2011,09:30,troopers hill,grassland park,single flower,2011,2,180,47,21,0,1,0,21,0.145833333,1,1,47,248,322.2857143,1700.571429
Clematis vitalba,25/07/2011,09:30,troopers hill,grassland park,single flower,2011,3,190,61,42,0,1,0,20,0.138888889,1,1,61,293,439.2,2109.6
Clematis vitalba,25/07/2011,09:30,troopers hill,grassland park,single flower,2011,4,82,41,9,0,1,0,12,0.083333333,1,1,41,132,492,1584
Clematis vitalba,25/07/2011,09:30,troopers hill,grassland park,single flower,2011,5,110,72,21,0,1,0,15,0.104166667,1,1,72,203,691.2,1948.8
Convolvulus arvensis,01/08/2011,11:45,ashton court nature reserve,grassland nature reserve,single flower,2011,1,0,1,1,0,1,0,1,0.006944444,1,1,1,2,144,288
Convolvulus arvensis,01/08/2011,11:45,ashton court nature reserve,grassland nature reserve,single flower,2011,2,0,1,0,0,1,0,1,0.006944444,1,1,1,1,144,144
Convolvulus arvensis,01/08/2011,11:45,ashton court nature reserve,grassland nature reserve,single flower,2011,3,0,2,0,0,1,0,1,0.006944444,1,1,2,2,288,288
Convolvulus arvensis,01/08/2011,11:45,ashton court nature reserve,grassland nature reserve,single flower,2011,4,1,1,1,0,1,0,1,0.006944444,1,1,1,3,144,432
Convolvulus arvensis,01/08/2011,11:45,ashton court nature reserve,grassland nature reserve,single flower,2011,5,0,1,0,0,1,0,1,0.006944444,1,1,1,1,144,144
